fecha,IPC
1/1/2017,1.3
2/1/2017,2.5
3/1/2017,2.4
4/1/2017,2.6
5/1/2017,1.3
6/1/2017,1.4
7/1/2017,1.7
8/1/2017,1.5
9/1/2017,2
10/1/2017,1.3
11/1/2017,1.2
12/1/2017,3.4
1/1/2018,1.6
2/1/2018,2.6
3/1/2018,2.5
4/1/2018,2.6
5/1/2018,1.9
6/1/2018,3.9
7/1/2018,2.8
8/1/2018,4.1
9/1/2018,6.6
10/1/2018,5.1
11/1/2018,2.9
12/1/2018,2.8
1/1/2019,2.8
2/1/2019,3.8
3/1/2019,4.8
4/1/2019,3.2
5/1/2019,3
6/1/2019,2.6
7/1/2019,2.1
8/1/2019,3.9
9/1/2019,5.8
10/1/2019,3.2
11/1/2019,4.1
12/1/2019,3.8
1/1/2020,1.9
2/1/2020,1.8
3/1/2020,3.6
4/1/2020,1.4
5/1/2020,1.5
6/1/2020,2
7/1/2020,1.6
8/1/2020,2.8
9/1/2020,2.8
10/1/2020,3.6
11/1/2020,3
12/1/2020,3.7
1/1/2021,3.3
2/1/2021,3.6
3/1/2021,5.2
4/1/2021,4.1
5/1/2021,3.4
