ds,holiday,lower_window,upper_window
2016-01-01,año-nuevo,-15,15
2016-03-04,carnaval,-15,15
2016-03-05,carnaval,-15,15
2016-03-24,memoria-verdad-justicia,-15,15
2016-04-02,veteranos-malvinas,-15,15
2016-04-19,viernes-santo,-15,15
2016-05-01,trabajador,-15,15
2016-05-25,revolucion-mayo,-15,15
2016-06-17,martin-guemes,-15,15
2016-06-20,belgrano,-15,15
2016-07-08,puente-turistico,-15,15
2016-07-09,independencia,-15,15
2016-08-17,san-martin,-15,15
2016-08-19,puente-turistico,-15,15
2016-10-12,diversidad,-15,15
2016-10-14,puente-turistico,-15,15
2016-11-18,soberania-nacional,-15,15
2016-12-08,inmaculada-maria,-15,15
2016-12-25,navidad,-15,15
2017-01-01,año-nuevo,-15,15
2017-03-04,carnaval,-15,15
2017-03-05,carnaval,-15,15
2017-03-24,memoria-verdad-justicia,-15,15
2017-04-02,veteranos-malvinas,-15,15
2017-04-19,viernes-santo,-15,15
2017-05-01,trabajador,-15,15
2017-05-25,revolucion-mayo,-15,15
2017-06-17,martin-guemes,-15,15
2017-06-20,belgrano,-15,15
2017-07-08,puente-turistico,-15,15
2017-07-09,independencia,-15,15
2017-08-17,san-martin,-15,15
2017-08-19,puente-turistico,-15,15
2017-10-12,diversidad,-15,15
2017-10-14,puente-turistico,-15,15
2017-11-18,soberania-nacional,-15,15
2017-12-08,inmaculada-maria,-15,15
2017-12-25,navidad,-15,15
2018-01-01,año-nuevo,-15,15
2018-03-04,carnaval,-15,15
2018-03-05,carnaval,-15,15
2018-03-24,memoria-verdad-justicia,-15,15
2018-04-02,veteranos-malvinas,-15,15
2018-04-19,viernes-santo,-15,15
2018-05-01,trabajador,-15,15
2018-05-25,revolucion-mayo,-15,15
2018-06-17,martin-guemes,-15,15
2018-06-20,belgrano,-15,15
2018-07-08,puente-turistico,-15,15
2018-07-09,independencia,-15,15
2018-08-17,san-martin,-15,15
2018-08-19,puente-turistico,-15,15
2018-10-12,diversidad,-15,15
2018-10-14,puente-turistico,-15,15
2018-11-18,soberania-nacional,-15,15
2018-12-08,inmaculada-maria,-15,15
2018-12-25,navidad,-15,15
2019-01-01,año-nuevo,-15,15
2019-03-04,carnaval,-15,15
2019-03-05,carnaval,-15,15
2019-03-24,memoria-verdad-justicia,-15,15
2019-04-02,veteranos-malvinas,-15,15
2019-04-19,viernes-santo,-15,15
2019-05-01,trabajador,-15,15
2019-05-25,revolucion-mayo,-15,15
2019-06-17,martin-guemes,-15,15
2019-06-20,belgrano,-15,15
2019-07-08,puente-turistico,-15,15
2019-07-09,independencia,-15,15
2019-08-17,san-martin,-15,15
2019-08-19,puente-turistico,-15,15
2019-10-12,diversidad,-15,15
2019-10-14,puente-turistico,-15,15
2019-11-18,soberania-nacional,-15,15
2019-12-08,inmaculada-maria,-15,15
2019-12-25,navidad,-15,15
2020-01-01,año-nuevo,-15,15
2020-03-04,carnaval,-15,15
2020-03-05,carnaval,-15,15
2020-03-24,memoria-verdad-justicia,-15,15
2020-04-02,veteranos-malvinas,-15,15
2020-04-19,viernes-santo,-15,15
2020-05-01,trabajador,-15,15
2020-05-25,revolucion-mayo,-15,15
2020-06-17,martin-guemes,-15,15
2020-06-20,belgrano,-15,15
2020-07-08,puente-turistico,-15,15
2020-07-09,independencia,-15,15
2020-08-17,san-martin,-15,15
2020-08-19,puente-turistico,-15,15
2020-10-12,diversidad,-15,15
2020-10-14,puente-turistico,-15,15
2020-11-18,soberania-nacional,-15,15
2020-12-08,inmaculada-maria,-15,15
2020-12-25,navidad,-15,15
2021-01-01,año-nuevo,-15,15
2021-03-04,carnaval,-15,15
2021-03-05,carnaval,-15,15
2021-03-24,memoria-verdad-justicia,-15,15
2021-04-02,veteranos-malvinas,-15,15
2021-04-19,viernes-santo,-15,15
2021-05-01,trabajador,-15,15
2021-05-25,revolucion-mayo,-15,15
2021-06-17,martin-guemes,-15,15
2021-06-20,belgrano,-15,15
2021-07-08,puente-turistico,-15,15
2021-07-09,independencia,-15,15
2021-08-17,san-martin,-15,15
2021-08-19,puente-turistico,-15,15
2021-10-12,diversidad,-15,15
2021-10-14,puente-turistico,-15,15
2021-11-18,soberania-nacional,-15,15
2021-12-08,inmaculada-maria,-15,15
2021-12-25,navidad,-15,15
2022-01-01,año-nuevo,-15,15
2022-03-04,carnaval,-15,15
2022-03-05,carnaval,-15,15
2022-03-24,memoria-verdad-justicia,-15,15
2022-04-02,veteranos-malvinas,-15,15
2022-04-19,viernes-santo,-15,15
2022-05-01,trabajador,-15,15
2022-05-25,revolucion-mayo,-15,15
2022-06-17,martin-guemes,-15,15
2022-06-20,belgrano,-15,15
2022-07-08,puente-turistico,-15,15
2022-07-09,independencia,-15,15
2022-08-17,san-martin,-15,15
2022-08-19,puente-turistico,-15,15
2022-10-12,diversidad,-15,15
2022-10-14,puente-turistico,-15,15
2022-11-18,soberania-nacional,-15,15
2022-12-08,inmaculada-maria,-15,15
2022-12-25,navidad,-15,15
