 item.type , item.value                                                    
 uri       , http://dbpedia.org/resource/Héctor_Tizón                      
 uri       , http://dbpedia.org/resource/Herman_Aguinis                    
 uri       , http://dbpedia.org/resource/Gabriela_Cabezón_Cámara           
 uri       , http://dbpedia.org/resource/Edgar_Brau                        
 uri       , http://dbpedia.org/resource/Ángel_Cappelletti                 
 uri       , http://dbpedia.org/resource/Alberto_Laiseca                   
 uri       , http://dbpedia.org/resource/Ricardo_Ernesto_Montes_i_Bradley  
 uri       , http://dbpedia.org/resource/Eduardo_Sguiglia                  
 uri       , http://dbpedia.org/resource/Mirta_Rosenberg                   
 uri       , http://dbpedia.org/resource/Daniel_Chavarría                  
 uri       , http://dbpedia.org/resource/Enrique_Pavón_Pereyra             
 uri       , http://dbpedia.org/resource/Mario_Benedetti                   
 uri       , http://dbpedia.org/resource/John_Farrell_(Australian_poet)    
 uri       , http://dbpedia.org/resource/Jorge_Romero_Brest                
 uri       , http://dbpedia.org/resource/Enrique_Larreta                   
 uri       , http://dbpedia.org/resource/Elizabeth_Azcona_Cranwell         
 uri       , http://dbpedia.org/resource/Esther_Vilar                      
 uri       , http://dbpedia.org/resource/Marta_Lynch                       
 uri       , http://dbpedia.org/resource/Marta_Mirazón_Lahr                
 uri       , http://dbpedia.org/resource/Julio_Barragán                    
 uri       , http://dbpedia.org/resource/Xavier_Waterkeyn                  
 uri       , http://dbpedia.org/resource/Roberto_Arlt                      
 uri       , http://dbpedia.org/resource/Jorge_Luis_Borges                 
 uri       , http://dbpedia.org/resource/Sylvia_Molloy_(writer)            
 uri       , http://dbpedia.org/resource/Lynette_Roberts                   
 uri       , http://dbpedia.org/resource/Alejandro_Rozitchner              
 uri       , http://dbpedia.org/resource/María_Esther_Vázquez              
 uri       , http://dbpedia.org/resource/Mercedes_Ron                      
 uri       , http://dbpedia.org/resource/Rafael_Squirru                    
 uri       , http://dbpedia.org/resource/Martín_Caparrós                   
 uri       , http://dbpedia.org/resource/Silvina_Bullrich                  
 uri       , http://dbpedia.org/resource/Hugo_Mujica                       
 uri       , http://dbpedia.org/resource/Bertha_Moss                       
 uri       , http://dbpedia.org/resource/Ezechiel_Saad                     
 uri       , http://dbpedia.org/resource/Pacho_O'Donnell                   
 uri       , http://dbpedia.org/resource/Samanta_Schweblin                 
