avg_hourly_rate,client_focus_enterprise_1b,client_focus_midmarket_10m_1b,client_focus_small_business,company_name,employees,location,min_project_size,rating,reviews,service_focus_custom_software_development,service_focus_digital_strategy,service_focus_ecommerce_development,service_focus_it_managed_services,service_focus_it_staff_augmentation,service_focus_it_strategy_consulting,service_focus_mobile_app_development,service_focus_search_engine_optimization,service_focus_social_media_marketing,service_focus_uxui_design,service_focus_web_design,service_focus_web_development,cluster
37,10,80,10,404 // Software crafters,29,"Campo Salles, Argentina",10000,4.7,5,30,0,0,0,0,0,40,0,0,0,0,30,1
124,25,40,35,Rootstrap,149,"Buenos Aires, Argentina",50000,4.8,34,10,0,0,0,0,0,25,0,0,0,0,40,1
-1,25,50,25,Flux IT,149,"Gonnet, Argentina",10000,4.9,10,40,0,0,0,0,0,30,0,0,0,0,30,1
37,0,70,30,Clarika,149,"Córdoba, Argentina",10000,4.8,14,30,0,0,0,30,10,20,0,0,0,0,10,1
37,30,40,30,Azumo,149,"Rosario, Argentina",25000,4.9,10,20,0,0,0,0,0,10,0,0,0,0,20,1
37,20,50,30,The App Master,29,"Buenos Aires, Argentina",10000,5.0,7,30,0,0,0,0,0,40,0,0,10,0,0,1
37,20,50,30,Nybble Group,149,"DQF, Argentina",5000,4.8,8,30,0,0,0,0,0,20,0,0,0,0,0,1
74,20,45,35,Patagonian,149,"General Roca, Argentina",75000,4.9,6,20,0,5,0,0,0,20,0,0,20,0,10,1
37,0,30,70,Crombie,29,"FQC, Argentina",10000,4.8,15,25,0,10,0,25,0,20,0,0,0,0,20,1
25,0,0,0,Greelow,29,"CABA, Argentina",5000,5.0,9,0,0,0,0,30,0,20,0,0,0,0,50,2
74,0,0,0,AccelOne,149,"Ciudad de Buenos Aires, Argentina",75000,4.9,11,10,0,5,0,10,0,15,0,0,15,0,0,2
74,20,40,40,NaNLABS,29,"La Plata, Argentina",25000,4.9,13,50,0,0,0,0,0,10,0,0,10,0,10,1
74,20,40,40,3XM Group,149,"Córdoba, Argentina",10000,4.9,7,40,0,0,0,10,0,10,0,0,0,0,10,1
74,0,30,70,WillDom,624,"Buenos Aires, Argentina",10000,5.0,13,0,0,0,0,30,15,15,0,0,0,0,30,1
