company_name,rating,reviews,min_project_size,avg_hourly_rate,employees,location,service_focus_mobile_app_development,service_focus_custom_software_development,service_focus_web_development,client_focus_midmarket_10m_1b,client_focus_enterprise_1b,client_focus_small_business_10m,service_focus_artificial_intelligence,service_focus_uxui_design,service_focus_application_testing,service_focus_architectural_design,service_focus_it_staff_augmentation,service_focus_it_strategy_consulting,service_focus_bi_big_data_consulting_si,service_focus_blockchain,service_focus_cloud_consulting_si,service_focus_erp_consulting_and_si,service_focus_ecommerce_development,service_focus_enterprise_app_modernization,service_focus_arvr_development,service_focus_crm_consulting_and_si,service_focus_social_media_marketing,service_focus_content_marketing,service_focus_digital_strategy,service_focus_web_design,service_focus_it_managed_services,service_focus_other,service_focus_other_it_consulting_and_si,service_focus_application_management_support,service_focus_iot_development,service_focus_product_design,service_focus_other_application_development,service_focus_search_engine_optimization,service_focus_graphic_design,service_focus_hr_services,service_focus_wearable_app_development,service_focus_email_marketing,service_focus_branding,service_focus_business_consulting,service_focus_advertising,service_focus_logo,service_focus_video_production,service_focus_market_research,service_focus_pay_per_click,service_focus_cybersecurity,service_focus_accounting,service_focus_translation,service_focus_other_design,service_focus_other_digital_marketing,service_focus_mobile_app_marketing,service_focus_sales_outsourcing,service_focus_media_planning_buying,service_focus_back_office_outsourcing,service_focus_conversion_optimization,service_focus_corporate_training,service_focus_marketing_strategy,service_focus_public_relations,service_focus_corporate_photography,service_focus_packaging_design,service_focus_print_design,service_focus_call_center_services,service_focus_customer_service_outsourcing,service_focus_ocean_freight,service_focus_logistics_supply_chain_consulting,service_focus_trucking,service_focus_air_freight,service_focus_freight_forwarding,service_focus_customs_brokerage,service_focus_commercial_financing_funding_investment,service_focus_unified_communications_consulting_si
404 // Software crafters,4.7,5 reviews,"$10,000+",$25 - $49 / hr,10 - 49,"Buenos Aires, Argentina",40%,30%,30%,80%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rootstrap,4.8,34 reviews,"$50,000+",$100 - $149 / hr,50 - 249,"Buenos Aires, Argentina",25%,10%,40%,40%,25%,35%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patagonian,4.9,6 reviews,"$50,000+",$25 - $49 / hr,50 - 249,"General Roca, Argentina",40%,40%,,50%,10%,40%,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOOR Inc.,5.0,21 reviews,"$50,000+",$50 - $99 / hr,10 - 49,"Mar del Plata, Argentina",50%,,50%,40%,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flux IT,4.9,11 reviews,"$10,000+",Undisclosed,50 - 249,"Gonnet, Argentina",30%,40%,30%,50%,25%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The App Master,5.0,7 reviews,"$10,000+",$25 - $49 / hr,10 - 49,"Buenos Aires, Argentina",40%,30%,,50%,20%,30%,,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarika,4.8,14 reviews,"$10,000+",$25 - $49 / hr,50 - 249,"Córdoba, Argentina",20%,30%,10%,70%,,30%,,,,,30%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumo,4.9,10 reviews,"$25,000+",$25 - $49 / hr,50 - 249,"Rosario, Argentina",10%,20%,20%,40%,30%,30%,20%,,,,,,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greelow,5.0,12 reviews,"$10,000+",< $25 / hr,10 - 49,"CABA, Argentina",20%,,50%,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nybble Group,4.8,8 reviews,"$5,000+",$25 - $49 / hr,50 - 249,"DQF, Argentina",20%,30%,,50%,20%,30%,20%,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crombie,4.8,15 reviews,"$10,000+",$25 - $49 / hr,10 - 49,"FQC, Argentina",20%,25%,20%,30%,,70%,,,,,25%,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccelOne,4.9,11 reviews,"$75,000+",$50 - $99 / hr,50 - 249,"Ciudad de Buenos Aires, Argentina",15%,10%,,,,,,15%,15%,,10%,,,10%,,,5%,10%,5%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNLABS,4.9,14 reviews,"$25,000+",$50 - $99 / hr,50 - 249,"La Plata, Argentina",10%,50%,10%,40%,20%,40%,,10%,,,,,,10%,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XM Group,4.9,7 reviews,"$10,000+",$50 - $99 / hr,50 - 249,"Córdoba, Argentina",10%,40%,10%,40%,20%,40%,,,,,10%,,10%,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillDom,5.0,13 reviews,"$10,000+",$50 - $99 / hr,250 - 999,"Buenos Aires, Argentina",15%,,30%,30%,,70%,10%,,,,30%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma Software Group,4.8,12 reviews,"$50,000+",$50 - $99 / hr,"1,000 - 9,999","Vicente López, Argentina",30%,35%,20%,45%,40%,15%,,,,,,,10%,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simplex Software,4.7,10 reviews,"$10,000+",$25 - $49 / hr,50 - 249,"CMK, Argentina",25%,10%,15%,50%,,50%,,,,,40%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amalgama,4.9,15 reviews,"$10,000+",$50 - $99 / hr,50 - 249,"Buenos Aires, Argentina",20%,30%,20%,,,,,15%,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darwoft,4.8,18 reviews,"$5,000+",$25 - $49 / hr,50 - 249,"Córdoba, Argentina",30%,20%,30%,40%,30%,30%,10%,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombieri,5.0,10 reviews,"$5,000+",$25 - $49 / hr,10 - 49,"Concepción del Uruguay, Argentina",15%,,30%,50%,10%,40%,,10%,,,,,10%,,,,15%,10%,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paisanos.io,4.5,1 review,"$25,000+",$50 - $99 / hr,50 - 249,"Buenos Aires, Argentina",25%,25%,25%,60%,10%,30%,,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Virtualities,5.0,5 reviews,"$50,000+",Undisclosed,50 - 249,"Buenos Aires, Argentina",20%,,20%,,,,,,,,,20%,20%,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globant,4.8,3 reviews,"$5,000+",$25 - $49 / hr,"10,000+","Buenos Aires, Argentina",10%,10%,30%,,,,,10%,,,,,,,,,,,,,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devsar,4.8,15 reviews,Undisclosed,$25 - $49 / hr,10 - 49,"La Plata, Argentina",40%,,60%,30%,5%,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarego,4.8,7 reviews,"$1,000+",$25 - $49 / hr,10 - 49,"Ciudad Autonoma de Buenos Aires, Argentina",25%,25%,20%,50%,,50%,,5%,,,,10%,,5%,,,,,,,,,,,7%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serfe,4.9,10 reviews,"$10,000+",$25 - $49 / hr,10 - 49,"Santo Tomé, Argentina",30%,20%,30%,20%,10%,70%,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underscope,5.0,1 review,"$25,000+",$50 - $99 / hr,10 - 49,"Buenos Aires, Argentina",60%,,10%,10%,10%,80%,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huenei IT Services,4.2,15 reviews,"$5,000+",$25 - $49 / hr,250 - 999,"AAC, Argentina",10%,30%,20%,40%,33%,27%,,5%,10%,,5%,,,,,,,,,,,,,,5%,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fuzzy Fish,4.9,6 reviews,"$10,000+",$25 - $49 / hr,50 - 249,"Córdoba, Argentina",20%,20%,20%,50%,,50%,,15%,,,,,,,,,10%,,,,,,,5%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InAllMedia,5.0,1 review,Undisclosed,$25 - $49 / hr,2 - 9,"Buenos Aires, Argentina",25%,20%,25%,,,,,10%,,,,,,,,,,15%,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermedia,4.8,4 reviews,"$5,000+",$25 - $49 / hr,10 - 49,"Tandil, Argentina",50%,,25%,,,,10%,10%,,,,,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chispa Lab,5.0,1 review,"$5,000+",$50 - $99 / hr,10 - 49,"Rincón de Milberg, Argentina",20%,,20%,40%,40%,20%,,20%,,,,,,,,,,,,,,,,20%,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julasoft,5.0,5 reviews,"$10,000+",< $25 / hr,10 - 49,"City Bell, Argentina",20%,20%,20%,50%,10%,40%,,,,,,,,25%,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10Pines,5.0,4 reviews,"$50,000+",$50 - $99 / hr,50 - 249,"AAQ, Argentina",10%,45%,30%,25%,5%,70%,,5%,,,,,,,,,5%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softion,5.0,2 reviews,"$5,000+",$25 - $49 / hr,10 - 49,"Olivos, Argentina",50%,10%,,40%,10%,50%,,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syloper,4.8,6 reviews,"$5,000+",$25 - $49 / hr,10 - 49,"AUB, Argentina",40%,30%,30%,20%,,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMSA,5.0,2 reviews,Undisclosed,Undisclosed,50 - 249,"Ciudad Autónoma de Buenos Aires, Argentina",35%,35%,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puzzle,4.8,7 reviews,"$10,000+",$25 - $49 / hr,10 - 49,"Rosario, Argentina",45%,,20%,40%,,60%,,5%,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Minds,5.0,2 reviews,"$1,000+",$25 - $49 / hr,2 - 9,"Rosario, Argentina",20%,15%,25%,20%,,80%,,,10%,,,,,,,,15%,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenility,4.9,4 reviews,"$10,000+",$25 - $49 / hr,50 - 249,"Córdoba, Argentina",30%,30%,,15%,5%,80%,,,5%,,30%,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimTLiX,4.8,2 reviews,"$25,000+",$25 - $49 / hr,250 - 999,"Córdoba, Argentina",20%,30%,,30%,50%,20%,20%,,,,,,,20%,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
